[------0] "eXgine 0.80" log start
[-----11] Network : Initialized
[------1] Network : Description : WinSock 2.0
[------0] Network : MaxSockets  : 32767
[-----20] Texture : Unload #40	data\textures\buttons\aboutover.jpg
[-----21] Texture : Unload #39	data\textures\buttons\about.jpg
[-----20] Texture : Unload #38	data\textures\buttons\continueover.jpg
[-----25] Texture : Unload #37	data\textures\buttons\continue.jpg
[-----30] Texture : Unload #36	data\textures\buttons\newgameover.jpg
[-----20] Texture : Unload #35	data\textures\buttons\newgame.jpg
[-----21] Texture : Unload #34	data\textures\table.jpg
[-----21] Texture : Unload #33	data\textures\road.jpg
[-----21] Texture : Unload #32	DATA\Textures\console.jpg
[-----20] Texture : Unload #31	DefaultBlur.tga
[-----21] Texture : Unload #30	*Font_Arial_1*
[-----21] Texture : Unload #29	data\textures\objects\flag.jpg
[-----21] Texture : Unload #28	data\textures\objects\cube.jpg
[-----20] Texture : Unload #27	data\textures\objects\paper.jpg
[-----21] Texture : Unload #26	data\textures\objects\disc.jpg
[-----21] Texture : Unload #25	data\textures\objects\book.jpg
[-----21] Texture : Unload #24	data\textures\objects\eracer.jpg
[-----20] Texture : Unload #23	data\textures\objects\rooler.jpg
[-----21] Texture : Unload #22	data\textures\objects\monitor.jpg
[-----20] Texture : Unload #21	data\textures\objects\nojnici.jpg
[-----22] Texture : Unload #20	data\textures\objects\papka.jpg
[-----20] Texture : Unload #19	data\textures\objects\cigaret_box.jpg
[-----21] Texture : Unload #18	data\textures\objects\podstavka.jpg
[-----20] Texture : Unload #17	data\textures\objects\pen.jpg
[-----22] Texture : Unload #16	data\textures\objects\cigaret.jpg
[-----20] Texture : Unload #15	data\textures\objects\skrepka.jpg
[-----21] Texture : Unload #14	data\textures\objects\skrepka_st.jpg
[-----20] Texture : Unload #13	data\textures\objects\stepler.jpg
[-----22] Texture : Unload #12	data\textures\objects\telephone.jpg
[-----20] Texture : Unload #11	data\textures\objects\calendar.jpg
[-----21] Texture : Unload #10	data\textures\objects\cap.jpg
[-----20] Texture : Unload #9	data\textures\objects\izmeritel.jpg
[-----22] Texture : Unload #8	data\textures\cars\supra.jpg
[-----20] Texture : Unload #7	data\textures\cars\supra2.jpg
[-----21] Texture : Unload #6	data\textures\cars\jeep.jpg
[-----20] Texture : Unload #5	data\textures\cars\player3.jpg
[-----30] Texture : Unload #4	data\textures\cars\player2.jpg
[-----20] Texture : Unload #3	data\textures\cars\player.jpg
[----277] Window  : 1024x768x32x100
[----157] Window  : Destroy main window
[-----28] "eXgine 0.80" log close
