[------0] "eXgine 0.80" log start
[------6] Network : Initialized
[------0] Network : Description : WinSock 2.0
[------0] Network : MaxSockets  : 32767
[------0] Texture : Unload #51	data\textures\garbage\dirt1_tex.jpg
[------0] Texture : Unload #50	data\textures\garbage\dirt1_normal.jpg
[------0] Texture : Unload #49	data\textures\rings\spacering3_line.jpg
[------1] Texture : Unload #48	data\textures\rings\spacering3_tex.jpg
[------0] Texture : Unload #47	data\textures\objects\epic_line.jpg
[------0] Texture : Unload #46	data\textures\objects\epic_tex.jpg
[------0] Texture : Unload #45	data\textures\objects\epic_normal.jpg
[------0] Texture : Unload #44	data\textures\objects\satelite1_line.jpg
[------0] Texture : Unload #43	data\textures\objects\satellite1.jpg
[------0] Texture : Unload #42	data\textures\objects\satelite1_normal.jpg
[------0] Texture : Unload #41	data\textures\objects\satelite2_line.jpg
[------0] Texture : Unload #40	data\textures\objects\satellite2.jpg
[------0] Texture : Unload #39	data\textures\objects\satelite2_normal.jpg
[------0] Texture : Unload #38	data\textures\objects\meteor_tex.JPG
[------0] Texture : Unload #37	data\textures\rings\spacering2_line.jpg
[------0] Texture : Unload #36	data\textures\rings\spacering2_tex.jpg
[------1] Texture : Unload #35	data\textures\rings\SpaceRing2_add_tex.jpg
[------0] Texture : Unload #34	data\textures\rings\SpaceRing2_normal.jpg
[------0] Texture : Unload #33	data\textures\rings\spacering1_line_add.jpg
[------0] Texture : Unload #32	data\textures\rings\spacering1_tex2.jpg
[------0] Texture : Unload #31	data\textures\rings\spacering1_normal_add.jpg
[------0] Texture : Unload #30	data\textures\rings\spacering1_line.jpg
[------0] Texture : Unload #29	data\textures\rings\spacering1_tex.jpg
[------0] Texture : Unload #28	data\textures\rings\spacering1_normal.jpg
[------0] Texture : Unload #27	data\textures\objects\Box_line.jpg
[------1] Texture : Unload #26	data\textures\objects\Box_tex.jpg
[------0] Texture : Unload #25	data\textures\objects\WeaponBase_line.jpg
[------0] Texture : Unload #24	data\textures\objects\WeaponBase_tex.jpg
[------0] Texture : Unload #23	data\textures\objects\WeaponBase_normal.jpg
[------0] Texture : Unload #22	data\textures\weapons\RocketLauncher.jpg
[------0] Texture : Unload #21	data\textures\weapons\Plasmagun.jpg
[------0] Texture : Unload #20	data\textures\weapons\MachineGun1.jpg
[------0] Texture : Unload #19	data\textures\weapons\MachineGun2.jpg
[------0] Texture : Unload #18	data\textures\weapons\plasma_c.jpg
[------0] Texture : Unload #17	data\textures\weapons\rocket.jpg
[------0] Texture : Unload #16	data\textures\weapons\MachineGun_c.jpg
[-----16] Texture : Unload #15	data\textures\car6_tex.jpg
[-----16] Texture : Unload #14	data\textures\car5_tex.jpg
[------0] Texture : Unload #13	data\textures\car4_tex.jpg
[------1] Texture : Unload #12	data\textures\car3_tex.jpg
[------0] Texture : Unload #11	data\textures\car2_tex.jpg
[------0] Texture : Unload #10	data\textures\car1_tex.jpg
[------0] Texture : Unload #57	data\textures\garbage\dirt3_line.jpg
[------0] Texture : Unload #58	*Font_Arial_1*
[------0] Texture : Unload #59	data\textures\sky\sky.jpg
[------0] Texture : Unload #6	data\textures\bump.jpg
[------1] Texture : Unload #5	data\textures\roadline.jpg
[------0] Texture : Unload #4	data\textures\road.jpg
[------0] Texture : Unload #3	DATA\Textures\console.jpg
[-----14] Window  : Destroy main window
[------0] "eXgine 0.80" log close
